,importance
Elevation,0.19382583
Aspect,0.017523546
Slope,0.032539565
Horizontal_Distance_To_Hydrology,0.05131944
Vertical_Distance_To_Hydrology,0.030279092
Horizontal_Distance_To_Roadways,0.12645985
Hillshade_9am,0.02671951
Hillshade_Noon,0.040565602
Hillshade_3pm,0.020520534
Horizontal_Distance_To_Fire_Points,0.07111009
Wilderness_Area_0,0.045442034
Wilderness_Area_1,0.018605622
Wilderness_Area_2,0.039315425
Wilderness_Area_3,0.03410634
Soil_Type_0,0.0022487103
Soil_Type_1,0.003460237
Soil_Type_2,0.0062559173
Soil_Type_3,0.011545991
Soil_Type_4,0.0008992894
Soil_Type_5,0.011310201
Soil_Type_6,0.00052935863
Soil_Type_7,0.00014881244
Soil_Type_8,0.00066852255
Soil_Type_9,0.024361273
Soil_Type_10,0.005833892
Soil_Type_11,0.014466147
Soil_Type_12,0.007178115
Soil_Type_13,0.00040768544
Soil_Type_14,5.10974e-05
Soil_Type_15,0.0017309529
Soil_Type_16,0.0019243807
Soil_Type_17,0.0018568513
Soil_Type_18,0.003311332
Soil_Type_19,0.0044293893
Soil_Type_20,0.00051024515
Soil_Type_21,0.012730779
Soil_Type_22,0.018012566
Soil_Type_23,0.009997763
Soil_Type_24,0.00028049506
Soil_Type_25,0.0008206365
Soil_Type_26,0.00051828544
Soil_Type_27,0.00065466727
Soil_Type_28,0.027161527
Soil_Type_29,0.010499689
Soil_Type_30,0.007505222
Soil_Type_31,0.018640278
Soil_Type_32,0.019469587
Soil_Type_33,0.0005719813
Soil_Type_34,0.0008205036
Soil_Type_35,0.00010795217
Soil_Type_36,0.00062771566
Soil_Type_37,0.0081642615
Soil_Type_38,0.00820923
Soil_Type_39,0.0037459913
