,importance
Elevation,0.19005375
Aspect,0.015801715
Slope,0.028821329
Horizontal_Distance_To_Hydrology,0.0458934
Vertical_Distance_To_Hydrology,0.037731335
Horizontal_Distance_To_Roadways,0.11977591
Hillshade_9am,0.022796107
Hillshade_Noon,0.045058288
Hillshade_3pm,0.016494883
Horizontal_Distance_To_Fire_Points,0.07441348
Wilderness_Area_0,0.04274498
Wilderness_Area_1,0.023674615
Wilderness_Area_2,0.037016097
Wilderness_Area_3,0.033504322
Soil_Type_0,0.0018877952
Soil_Type_1,0.0045316676
Soil_Type_2,0.0065695704
Soil_Type_3,0.00799142
Soil_Type_4,0.00091493933
Soil_Type_5,0.0077203265
Soil_Type_6,0.000430408
Soil_Type_7,0.000177955
Soil_Type_8,0.0073511824
Soil_Type_9,0.026519628
Soil_Type_10,0.008959017
Soil_Type_11,0.010571484
Soil_Type_12,0.005110341
Soil_Type_13,0.001329852
Soil_Type_14,7.008834e-05
Soil_Type_15,0.0031989007
Soil_Type_16,0.002658898
Soil_Type_17,0.0018783044
Soil_Type_18,0.001311128
Soil_Type_19,0.0057421657
Soil_Type_20,0.000522594
Soil_Type_21,0.013587306
Soil_Type_22,0.020904249
Soil_Type_23,0.0133685535
Soil_Type_24,0.000279385
Soil_Type_25,0.0018727343
Soil_Type_26,0.0006504976
Soil_Type_27,0.00043054158
Soil_Type_28,0.029372538
Soil_Type_29,0.015042711
Soil_Type_30,0.008747544
Soil_Type_31,0.019873466
Soil_Type_32,0.013040804
Soil_Type_33,0.0006192148
Soil_Type_34,0.0009725338
Soil_Type_35,0.00013269234
Soil_Type_36,0.0007613698
Soil_Type_37,0.007867737
Soil_Type_38,0.01017722
Soil_Type_39,0.0030710804
