,importance
Elevation,0.19811107
Aspect,0.012316121
Slope,0.026654867
Horizontal_Distance_To_Hydrology,0.040611185
Vertical_Distance_To_Hydrology,0.02909705
Horizontal_Distance_To_Roadways,0.12349803
Hillshade_9am,0.019977804
Hillshade_Noon,0.034080967
Hillshade_3pm,0.0139213335
Horizontal_Distance_To_Fire_Points,0.08853586
Wilderness_Area_0,0.048851393
Wilderness_Area_1,0.022494014
Wilderness_Area_2,0.041489985
Wilderness_Area_3,0.03986758
Soil_Type_0,0.0015943723
Soil_Type_1,0.006004995
Soil_Type_2,0.0026917367
Soil_Type_3,0.007489119
Soil_Type_4,0.0009456485
Soil_Type_5,0.004969131
Soil_Type_6,0.0012542685
Soil_Type_7,0.00013390172
Soil_Type_8,0.00095791323
Soil_Type_9,0.03217172
Soil_Type_10,0.012844786
Soil_Type_11,0.019130826
Soil_Type_12,0.005587077
Soil_Type_13,0.0008436372
Soil_Type_14,5.7338853e-05
Soil_Type_15,0.0011829219
Soil_Type_16,0.0023475986
Soil_Type_17,0.0027243171
Soil_Type_18,0.0014700034
Soil_Type_19,0.0025322973
Soil_Type_20,0.0003785653
Soil_Type_21,0.012026076
Soil_Type_22,0.016823616
Soil_Type_23,0.0085589895
Soil_Type_24,0.00027660432
Soil_Type_25,0.008125019
Soil_Type_26,0.0006249176
Soil_Type_27,0.00039772323
Soil_Type_28,0.0252171
Soil_Type_29,0.010435305
Soil_Type_30,0.009760516
Soil_Type_31,0.023079418
Soil_Type_32,0.015947808
Soil_Type_33,0.00064518314
Soil_Type_34,0.0007750887
Soil_Type_35,9.308478e-05
Soil_Type_36,0.0018278462
Soil_Type_37,0.0075095454
Soil_Type_38,0.0059759947
Soil_Type_39,0.0050806813
