,importance
Elevation,0.20130138
Aspect,0.013577764
Slope,0.025708955
Horizontal_Distance_To_Hydrology,0.041990638
Vertical_Distance_To_Hydrology,0.027687905
Horizontal_Distance_To_Roadways,0.111140296
Hillshade_9am,0.017641906
Hillshade_Noon,0.03399023
Hillshade_3pm,0.012289821
Horizontal_Distance_To_Fire_Points,0.089943804
Wilderness_Area_0,0.039367776
Wilderness_Area_1,0.025128506
Wilderness_Area_2,0.04226878
Wilderness_Area_3,0.033867944
Soil_Type_0,0.0016164675
Soil_Type_1,0.0069619734
Soil_Type_2,0.0028720517
Soil_Type_3,0.010605195
Soil_Type_4,0.0011710839
Soil_Type_5,0.005343566
Soil_Type_6,0.0011562367
Soil_Type_7,0.00016801993
Soil_Type_8,0.0010449697
Soil_Type_9,0.03038494
Soil_Type_10,0.017051313
Soil_Type_11,0.019337865
Soil_Type_12,0.004992034
Soil_Type_13,0.0007764247
Soil_Type_14,7.856129e-05
Soil_Type_15,0.0016023394
Soil_Type_16,0.0017323897
Soil_Type_17,0.0024978723
Soil_Type_18,0.0017838057
Soil_Type_19,0.004134402
Soil_Type_20,0.00039289903
Soil_Type_21,0.01621104
Soil_Type_22,0.020077718
Soil_Type_23,0.008925382
Soil_Type_24,0.00025532712
Soil_Type_25,0.0040067662
Soil_Type_26,0.0006356909
Soil_Type_27,0.00044489471
Soil_Type_28,0.029153222
Soil_Type_29,0.011646977
Soil_Type_30,0.0114437835
Soil_Type_31,0.022285935
Soil_Type_32,0.015171616
Soil_Type_33,0.0004632769
Soil_Type_34,0.00088932004
Soil_Type_35,0.00010311831
Soil_Type_36,0.0015580616
Soil_Type_37,0.011257105
Soil_Type_38,0.009238246
Soil_Type_39,0.0046224417
