,importance
Elevation,0.19086714
Aspect,0.01587548
Slope,0.03162499
Horizontal_Distance_To_Hydrology,0.042716485
Vertical_Distance_To_Hydrology,0.03785323
Horizontal_Distance_To_Roadways,0.110508606
Hillshade_9am,0.02316985
Hillshade_Noon,0.043858957
Hillshade_3pm,0.017248875
Horizontal_Distance_To_Fire_Points,0.07983368
Wilderness_Area_0,0.042417873
Wilderness_Area_1,0.023071358
Wilderness_Area_2,0.035648786
Wilderness_Area_3,0.030461201
Soil_Type_0,0.0020772635
Soil_Type_1,0.005448303
Soil_Type_2,0.0053769914
Soil_Type_3,0.009706418
Soil_Type_4,0.0010074454
Soil_Type_5,0.00820225
Soil_Type_6,0.00047660974
Soil_Type_7,0.00022216287
Soil_Type_8,0.010933372
Soil_Type_9,0.017977174
Soil_Type_10,0.01414596
Soil_Type_11,0.0095238425
Soil_Type_12,0.0065795216
Soil_Type_13,0.0014037096
Soil_Type_14,6.746768e-05
Soil_Type_15,0.005208077
Soil_Type_16,0.006471918
Soil_Type_17,0.0017069936
Soil_Type_18,0.0015342099
Soil_Type_19,0.005400351
Soil_Type_20,0.00065060216
Soil_Type_21,0.015616817
Soil_Type_22,0.018646274
Soil_Type_23,0.010869522
Soil_Type_24,0.00036191972
Soil_Type_25,0.0038530885
Soil_Type_26,0.00067040056
Soil_Type_27,0.0005648092
Soil_Type_28,0.027691795
Soil_Type_29,0.01542353
Soil_Type_30,0.008784114
Soil_Type_31,0.022846974
Soil_Type_32,0.013581147
Soil_Type_33,0.000599017
Soil_Type_34,0.0010608818
Soil_Type_35,0.00015845282
Soil_Type_36,0.0008073617
Soil_Type_37,0.0053921808
Soil_Type_38,0.01038585
Soil_Type_39,0.00340866
