,importance
Elevation,0.17468132
Aspect,0.01932752
Slope,0.03422134
Horizontal_Distance_To_Hydrology,0.050339695
Vertical_Distance_To_Hydrology,0.027464727
Horizontal_Distance_To_Roadways,0.10393075
Hillshade_9am,0.024546064
Hillshade_Noon,0.04459494
Hillshade_3pm,0.018296055
Horizontal_Distance_To_Fire_Points,0.07873507
Wilderness_Area_0,0.047425743
Wilderness_Area_1,0.018166928
Wilderness_Area_2,0.04378276
Wilderness_Area_3,0.025511116
Soil_Type_0,0.001865747
Soil_Type_1,0.003908043
Soil_Type_2,0.00521794
Soil_Type_3,0.0068335077
Soil_Type_4,0.0008723486
Soil_Type_5,0.005373959
Soil_Type_6,0.0007719517
Soil_Type_7,0.00024471496
Soil_Type_8,0.0006027906
Soil_Type_9,0.029316502
Soil_Type_10,0.010254236
Soil_Type_11,0.013794191
Soil_Type_12,0.010632548
Soil_Type_13,0.00042407756
Soil_Type_14,3.3023324e-11
Soil_Type_15,0.0031073142
Soil_Type_16,0.0029146308
Soil_Type_17,0.0020312672
Soil_Type_18,0.001985566
Soil_Type_19,0.009278046
Soil_Type_20,0.00042801246
Soil_Type_21,0.016828
Soil_Type_22,0.020062363
Soil_Type_23,0.01006395
Soil_Type_24,0.00038535424
Soil_Type_25,0.0009786839
Soil_Type_26,0.0007186566
Soil_Type_27,0.00059429504
Soil_Type_28,0.03209849
Soil_Type_29,0.014444738
Soil_Type_30,0.014391726
Soil_Type_31,0.030570548
Soil_Type_32,0.019167317
Soil_Type_33,0.00063647225
Soil_Type_34,0.00085989083
Soil_Type_35,0.000113508955
Soil_Type_36,0.0010131648
Soil_Type_37,0.008003208
Soil_Type_38,0.0046522142
Soil_Type_39,0.003535943
