,importance
Elevation,0.60928714
Aspect,0.0037433861
Slope,0.011655937
Horizontal_Distance_To_Hydrology,0.01999141
Vertical_Distance_To_Hydrology,0.0069360635
Horizontal_Distance_To_Roadways,0.05060711
Hillshade_9am,0.0058778008
Hillshade_Noon,0.022744235
Hillshade_3pm,0.0045142365
Horizontal_Distance_To_Fire_Points,0.043453474
Wilderness_Area_0,0.012437945
Wilderness_Area_1,0.014239984
Wilderness_Area_2,0.008646939
Wilderness_Area_3,0.015935363
Soil_Type_0,0.0015157714
Soil_Type_1,0.0037929039
Soil_Type_2,0.0008387091
Soil_Type_3,0.0034465606
Soil_Type_4,0.001785776
Soil_Type_5,0.0022002324
Soil_Type_6,0.056047194
Soil_Type_7,1.2731126e-11
Soil_Type_8,1.2731126e-11
Soil_Type_9,0.0041537373
Soil_Type_10,0.0024657256
Soil_Type_11,0.012114565
Soil_Type_12,0.002499858
Soil_Type_13,1.2731126e-11
Soil_Type_14,1.2731126e-11
Soil_Type_15,0.0026197387
Soil_Type_16,0.00075654255
Soil_Type_17,0.0046037864
Soil_Type_18,0.0011566796
Soil_Type_19,0.0012494661
Soil_Type_20,1.2731126e-11
Soil_Type_21,0.009140644
Soil_Type_22,0.008535151
Soil_Type_23,0.008181326
Soil_Type_24,1.2731126e-11
Soil_Type_25,0.0003292354
Soil_Type_26,0.0017686529
Soil_Type_27,1.2731126e-11
Soil_Type_28,0.0069095497
Soil_Type_29,0.0030410814
Soil_Type_30,0.006724387
Soil_Type_31,0.0099209985
Soil_Type_32,0.006646447
Soil_Type_33,0.000605489
Soil_Type_34,1.2731126e-11
Soil_Type_35,1.2731126e-11
Soil_Type_36,1.2731126e-11
Soil_Type_37,0.00333302
Soil_Type_38,0.0024566234
Soil_Type_39,0.0010890713
