,importance
Elevation,0.69463265
Aspect,0.00025396532
Slope,0.0052862293
Horizontal_Distance_To_Hydrology,0.010716777
Vertical_Distance_To_Hydrology,0.009990231
Horizontal_Distance_To_Roadways,0.04575071
Hillshade_9am,0.0031464945
Hillshade_Noon,0.008666045
Hillshade_3pm,0.0021087527
Horizontal_Distance_To_Fire_Points,0.040741596
Wilderness_Area_0,0.01131679
Wilderness_Area_1,0.0124293575
Wilderness_Area_2,0.011975463
Wilderness_Area_3,0.0151606165
Soil_Type_0,6.9061705e-12
Soil_Type_1,0.0020489125
Soil_Type_2,0.0019229879
Soil_Type_3,0.004017123
Soil_Type_4,0.0007636248
Soil_Type_5,0.0014928798
Soil_Type_6,6.9061705e-12
Soil_Type_7,6.9061705e-12
Soil_Type_8,6.9061705e-12
Soil_Type_9,0.009802877
Soil_Type_10,0.0018672682
Soil_Type_11,0.004790117
Soil_Type_12,0.0011486994
Soil_Type_13,0.0035092789
Soil_Type_14,6.9061705e-12
Soil_Type_15,6.9061705e-12
Soil_Type_16,0.00014772725
Soil_Type_17,6.9061705e-12
Soil_Type_18,0.0008503614
Soil_Type_19,0.0012281563
Soil_Type_20,2.0038628e-05
Soil_Type_21,0.0062889964
Soil_Type_22,0.006085679
Soil_Type_23,0.0042175464
Soil_Type_24,6.9061705e-12
Soil_Type_25,6.9061705e-12
Soil_Type_26,6.9061705e-12
Soil_Type_27,6.9061705e-12
Soil_Type_28,0.010872353
Soil_Type_29,0.0032609263
Soil_Type_30,0.0053726695
Soil_Type_31,0.004215231
Soil_Type_32,0.005282438
Soil_Type_33,7.956792e-05
Soil_Type_34,0.00013307904
Soil_Type_35,6.9061705e-12
Soil_Type_36,0.037790567
Soil_Type_37,0.004311034
Soil_Type_38,0.0018112132
Soil_Type_39,0.0044929003
