model,seed,summary_file,mse,rmse,mae,r2,r2_mean,importance_entropy,importance_gini
shap,41,training_summary_20260502_123132_energy_shap_s41.json,7.274956643573175,2.6972127545993057,1.7041415241786408,0.9217767955342889,0.9198993544164462,1.4918520588533843,0.5587746985695379
shap,42,training_summary_20260502_123404_energy_shap_s42.json,1.9481792644239075,1.3957719242139481,0.9807762787558819,0.980210358365822,0.9795668862441658,1.82853540379957,0.35827154104137815
shap,43,training_summary_20260502_123633_energy_shap_s43.json,2.1969999990349285,1.4822280523033318,1.1184689464816797,0.9777541343885908,0.9768788332534171,1.2401833077666016,0.647942299669455
shap,44,training_summary_20260502_123853_energy_shap_s44.json,1.9338937070251607,1.3906450686732257,1.0462247188369949,0.9801975651067071,0.979959418715703,1.570129793972034,0.5417529356974087
shap,45,training_summary_20260502_124133_energy_shap_s45.json,4.225674673452397,2.0556445883110235,1.5792787544448645,0.9517298245475985,0.9487768415230062,1.6241305321027517,0.505598753798957
vanilla,41,training_summary_20260502_122919_energy_vanilla_s41.json,1.4993033334333874,1.224460425425578,0.7817272701511137,0.9838788989469937,0.9833340859755506,2.008314314003516,0.200276337384798
vanilla,42,training_summary_20260502_123148_energy_vanilla_s42.json,1.4581844761893028,1.2075530945632589,0.7842269888791169,0.9851877346467696,0.984444322768232,1.9738509653713074,0.25523768543343683
vanilla,43,training_summary_20260502_123422_energy_vanilla_s43.json,1.257559506018315,1.1214096067085901,0.7294393249610802,0.9872664998718605,0.9866437888202475,1.9851698177873862,0.22478651953346862
vanilla,44,training_summary_20260502_123648_energy_vanilla_s44.json,1.4168742883158207,1.1903252867665295,0.7286175939634252,0.9854916737437888,0.9850906232285015,1.964796410162766,0.26326761650468256
vanilla,45,training_summary_20260502_123912_energy_vanilla_s45.json,1.6665192854506106,1.2909373669743278,0.8168959348851981,0.9809632343897907,0.9795286942224026,1.9554134936825034,0.27655555793140274
