,importance
lever_position,0.061294464349338246
gas_turbine_shaft_torque,0.19588260966211218
gas_turbine_rate_of_revolutions,0.12397625211967828
gas_generator_rate_of_revolutions,0.016874497963498315
starboard_propeller_torque,0.20710045263353277
hp_turbine_exit_temperature,0.09870865000197694
gt_compressor_outlet_air_temperature,0.05089194133948276
hp_turbine_exit_pressure,0.09157240584079293
gt_compressor_outlet_air_pressure,0.12554003250954113
gas_turbine_exhaust_gas_pressure,0.000741770842962989
turbine_injection_control,0.0028480391045859143
fuel_flow,0.024568883632497707
