,importance
lever_position,0.060949078756228965
gas_turbine_shaft_torque,0.1961819680890763
gas_turbine_rate_of_revolutions,0.12741389772539213
gas_generator_rate_of_revolutions,0.016722321651662337
starboard_propeller_torque,0.2084687472620661
hp_turbine_exit_temperature,0.09777601348172169
gt_compressor_outlet_air_temperature,0.05070739761344105
hp_turbine_exit_pressure,0.09108309014170735
gt_compressor_outlet_air_pressure,0.12485561285912228
gas_turbine_exhaust_gas_pressure,0.0007370583526723857
turbine_injection_control,0.002635969726495953
fuel_flow,0.022468844340413473
