,importance
weather_temperature,281.7539978027344
co2_comedor_sensor,43.917816162109375
co2_habitacion_sensor,47.53249740600586
humedad_comedor_sensor,186.54742431640625
humedad_habitacion_sensor,170.9694366455078
lighting_comedor_sensor,130.09347534179688
lighting_habitacion_sensor,111.4093246459961
precipitacion,172.27835083007812
meteo_exterior_crepusculo,7.683679580688477
meteo_exterior_viento,388.72991943359375
meteo_exterior_sol_oest,0.3840714693069458
meteo_exterior_sol_est,0.5371971726417542
meteo_exterior_sol_sud,0.48856958746910095
meteo_exterior_piranometro,41.39683151245117
exterior_entalpic_1,0.0
exterior_entalpic_2,0.0
exterior_entalpic_turbo,0.0
temperature_exterior_sensor,228.75587463378906
humedad_exterior_sensor,106.08565521240234
day_of_week,145.81756591796875
hour,275.22222900390625
minute,24.75478744506836
