,importance
weather_temperature,0.0044432019103584595
co2_comedor_sensor,0.00975455727421481
co2_habitacion_sensor,0.00759231935658699
humedad_comedor_sensor,0.012385527415271165
humedad_habitacion_sensor,0.03209565108507896
lighting_comedor_sensor,0.0467422686427797
lighting_habitacion_sensor,0.025755600385205656
precipitacion,0.016044990380791012
meteo_exterior_crepusculo,0.04809582871373238
meteo_exterior_viento,0.007067817827168898
meteo_exterior_sol_oest,0.40203677878591215
meteo_exterior_sol_est,0.0619709021424312
meteo_exterior_sol_sud,0.19680625769049556
meteo_exterior_piranometro,0.0453701589660697
exterior_entalpic_1,0.0
exterior_entalpic_2,0.0
exterior_entalpic_turbo,0.0
temperature_exterior_sensor,0.04850825989692484
humedad_exterior_sensor,0.02355037854184344
day_of_week,0.004452003526325196
hour,0.006251747743117665
minute,0.0010757497156921986
