,importance
weather_temperature,0.0015827315268065586
co2_comedor_sensor,0.0036494264020555853
co2_habitacion_sensor,0.0028383385796944215
humedad_comedor_sensor,0.00527141490499043
humedad_habitacion_sensor,0.011723055017949947
lighting_comedor_sensor,0.024034028968886782
lighting_habitacion_sensor,0.007059218164841234
precipitacion,0.01602140144250432
meteo_exterior_crepusculo,0.006461822556360457
meteo_exterior_viento,0.0028154657411800345
meteo_exterior_sol_oest,0.07894046097825633
meteo_exterior_sol_est,0.09961809443585071
meteo_exterior_sol_sud,0.6883024860071875
meteo_exterior_piranometro,0.020315415912318866
temperature_exterior_sensor,0.018410124534766526
humedad_exterior_sensor,0.008260237930442652
day_of_week,0.0021311799070511954
hour,0.0017620586760594555
minute,0.0008030383127970319
