,importance
weather_temperature,0.0015783306246348488
co2_comedor_sensor,0.003639594033225542
co2_habitacion_sensor,0.0028299645267510893
humedad_comedor_sensor,0.005256167090942993
humedad_habitacion_sensor,0.011690866395829719
lighting_comedor_sensor,0.02396499556482453
lighting_habitacion_sensor,0.007033893696603375
precipitacion,0.016158934302853065
meteo_exterior_crepusculo,0.00641504316732673
meteo_exterior_viento,0.002525299206611197
meteo_exterior_sol_oest,0.07891965968544053
meteo_exterior_sol_est,0.09849448966903404
meteo_exterior_sol_sud,0.6901252917090134
meteo_exterior_piranometro,0.020319755544071644
temperature_exterior_sensor,0.01835836466705555
humedad_exterior_sensor,0.00823510861208734
day_of_week,0.0021280887319876547
hour,0.0017599536495179217
minute,0.000566199122188813
