,importance
weather_temperature,0.0015784652608415214
co2_comedor_sensor,0.003638719610120106
co2_habitacion_sensor,0.0028291944633340948
humedad_comedor_sensor,0.005256731217452022
humedad_habitacion_sensor,0.01169133179420978
lighting_comedor_sensor,0.02396587293912364
lighting_habitacion_sensor,0.0070333002462279704
precipitacion,0.01615662971184967
meteo_exterior_crepusculo,0.006415193632479472
meteo_exterior_viento,0.0025261757477500705
meteo_exterior_sol_oest,0.07891424149549223
meteo_exterior_sol_est,0.09849567836631455
meteo_exterior_sol_sud,0.6901099274697965
meteo_exterior_piranometro,0.020331940827225458
temperature_exterior_sensor,0.018358482167684344
humedad_exterior_sensor,0.008234667684656185
day_of_week,0.0021375426283207033
hour,0.0017601138868323094
minute,0.000565790850289557
