,importance
weather_temperature,18.68173599243164
co2_comedor_sensor,7.934305667877197
co2_habitacion_sensor,7.3391618728637695
humedad_comedor_sensor,15.207904815673828
humedad_habitacion_sensor,19.705394744873047
lighting_comedor_sensor,24.348533630371094
lighting_habitacion_sensor,12.274826049804688
precipitacion,36.3211784362793
meteo_exterior_crepusculo,0.41016170382499695
meteo_exterior_viento,38.031280517578125
meteo_exterior_sol_oest,0.7370815277099609
meteo_exterior_sol_est,0.06696447730064392
meteo_exterior_sol_sud,0.1514926254749298
meteo_exterior_piranometro,2.2269575595855713
temperature_exterior_sensor,25.67624855041504
humedad_exterior_sensor,5.3857221603393555
day_of_week,8.82007122039795
hour,12.64144515991211
minute,1.229975700378418
