,importance
weather_temperature,0.00017963200500968471
co2_comedor_sensor,0.0004477718695602574
co2_habitacion_sensor,0.0003457656666491085
humedad_comedor_sensor,0.0006521954607830036
humedad_habitacion_sensor,0.0015654698734019657
lighting_comedor_sensor,0.0017208283228054586
lighting_habitacion_sensor,0.0011485173405646372
precipitacion,0.0005707698244603325
meteo_exterior_crepusculo,0.0012216197548196603
meteo_exterior_viento,0.00032926316946031855
meteo_exterior_sol_oest,0.9506358071275788
meteo_exterior_sol_est,0.003367108406371116
meteo_exterior_sol_sud,0.029190009151948006
meteo_exterior_piranometro,0.004501063801766326
temperature_exterior_sensor,0.002415553304759995
humedad_exterior_sensor,0.001108598767241955
day_of_week,0.00025894402683867423
hour,0.00029385202549414785
minute,4.7230100486547726e-05
