,importance
weather_temperature,0.010256566395506988
co2_comedor_sensor,0.02169536603207536
co2_habitacion_sensor,0.017409235372815184
humedad_comedor_sensor,0.029569903203547344
humedad_habitacion_sensor,0.07584828116428133
lighting_comedor_sensor,0.05988755809146099
lighting_habitacion_sensor,0.04669174163413619
precipitacion,0.03216032141913
meteo_exterior_crepusculo,0.03380036893608487
meteo_exterior_viento,0.017386121114478428
meteo_exterior_sol_oest,0.0915582661266344
meteo_exterior_sol_est,0.032438239358309
meteo_exterior_sol_sud,0.1335179146708534
meteo_exterior_piranometro,0.19313248187124782
temperature_exterior_sensor,0.11955479771696377
humedad_exterior_sensor,0.054944302656227316
day_of_week,0.01307663025666618
hour,0.013462103760064367
minute,0.003609800219517099
