,importance
weather_temperature,0.0027395996420880365
co2_comedor_sensor,0.006234371526332959
co2_habitacion_sensor,0.005085972725807668
humedad_comedor_sensor,0.008750237887559575
humedad_habitacion_sensor,0.023227845542634424
lighting_comedor_sensor,0.05573563580987593
lighting_habitacion_sensor,0.012492907118998819
precipitacion,0.004847444711806736
meteo_exterior_crepusculo,0.009759424199708076
meteo_exterior_viento,0.004599672905449193
meteo_exterior_sol_oest,0.1563436586365659
meteo_exterior_sol_est,0.08234152909901507
meteo_exterior_sol_sud,0.18834014991607678
meteo_exterior_piranometro,0.3765384726165514
temperature_exterior_sensor,0.0378428296513482
humedad_exterior_sensor,0.016114104563620557
day_of_week,0.003803520062573557
hour,0.004286808599347175
minute,0.0009158147846399743
