,importance
weather_temperature,0.004674082593942288
co2_comedor_sensor,0.010252134252353419
co2_habitacion_sensor,0.008027828091743287
humedad_comedor_sensor,0.014007419031650975
humedad_habitacion_sensor,0.03581226845564583
lighting_comedor_sensor,0.034116742240939385
lighting_habitacion_sensor,0.03157175198430418
precipitacion,0.005197408982020878
meteo_exterior_crepusculo,0.017048940864181485
meteo_exterior_viento,0.007728811814237045
meteo_exterior_sol_oest,0.13287779330462338
meteo_exterior_sol_est,0.37306962676856353
meteo_exterior_sol_sud,0.1253337716083244
meteo_exterior_piranometro,0.10326610105616117
temperature_exterior_sensor,0.056955208610912536
humedad_exterior_sensor,0.026738029487123616
day_of_week,0.006118363520595976
hour,0.005985613597849009
minute,0.0012181037348275717
