,importance
weather_temperature,0.0005012338182511268
co2_comedor_sensor,0.0010965110579972898
co2_habitacion_sensor,0.000850591638426203
humedad_comedor_sensor,0.0017243399083985153
humedad_habitacion_sensor,0.0044518010170633854
lighting_comedor_sensor,0.0060738807214686585
lighting_habitacion_sensor,0.0018480870297226367
precipitacion,0.00042016043521277016
meteo_exterior_crepusculo,0.0012902370737225216
meteo_exterior_viento,0.0010044227805712505
meteo_exterior_sol_oest,0.000998178960495692
meteo_exterior_sol_est,0.05798844817679889
meteo_exterior_sol_sud,0.8218883100556011
meteo_exterior_piranometro,0.08736899568885247
temperature_exterior_sensor,0.007481518556857412
humedad_exterior_sensor,0.0032793859577830314
day_of_week,0.0007293013486849571
hour,0.0008528949127820963
minute,0.00015170086130991816
