,importance
weather_temperature,0.0005012335240959919
co2_comedor_sensor,0.001096511226129526
co2_habitacion_sensor,0.0008505918065506882
humedad_comedor_sensor,0.0017243397403551876
humedad_habitacion_sensor,0.0044518013533990505
lighting_comedor_sensor,0.0060738813940508
lighting_habitacion_sensor,0.0018480870297808852
precipitacion,0.0004201608134457838
meteo_exterior_crepusculo,0.001290231946784071
meteo_exterior_viento,0.001004422864651746
meteo_exterior_sol_oest,0.0009981821543829962
meteo_exterior_sol_est,0.05798844817862659
meteo_exterior_sol_sud,0.8218883100815058
meteo_exterior_piranometro,0.0873689956916062
temperature_exterior_sensor,0.007481519229483921
humedad_exterior_sensor,0.0032793859578863923
day_of_week,0.0007293010125125916
hour,0.0008528950809066541
minute,0.00015170091384522326
