,importance
weather_temperature,0.0015860784362652879
co2_comedor_sensor,0.0036873635429637464
co2_habitacion_sensor,0.0028752031904231918
humedad_comedor_sensor,0.00534342101254223
humedad_habitacion_sensor,0.011928205093135786
lighting_comedor_sensor,0.024089283059995106
lighting_habitacion_sensor,0.00717483183748591
precipitacion,0.015294687976371228
meteo_exterior_crepusculo,0.0065121578776065996
meteo_exterior_viento,0.0035946213958116735
meteo_exterior_sol_oest,0.07896581121823164
meteo_exterior_sol_est,0.10097494325787562
meteo_exterior_sol_sud,0.6851490888081391
meteo_exterior_piranometro,0.020221693502872447
temperature_exterior_sensor,0.018639183230729914
humedad_exterior_sensor,0.008435759356020318
day_of_week,0.0027426682287569662
hour,0.0018217492919733208
minute,0.0009632496827999242
