,importance
weather_temperature,0.006566906687413639
co2_comedor_sensor,0.01320546691428848
co2_habitacion_sensor,0.010391384295045708
humedad_comedor_sensor,0.018434035996595363
humedad_habitacion_sensor,0.04431743925448539
lighting_comedor_sensor,0.02811815060147418
lighting_habitacion_sensor,0.032955841046964134
precipitacion,0.008281883072798642
meteo_exterior_crepusculo,0.02581458619161516
meteo_exterior_viento,0.009469291640061201
meteo_exterior_sol_oest,0.11605747697765162
meteo_exterior_sol_est,0.03474791881411628
meteo_exterior_sol_sud,0.4770386726325096
meteo_exterior_piranometro,0.05612904802214044
temperature_exterior_sensor,0.06976175840647413
humedad_exterior_sensor,0.03224644258488548
day_of_week,0.007058494292565741
hour,0.008387144325533932
minute,0.0010180582433808845
