,importance
weather_temperature,0.000501233564477415
co2_comedor_sensor,0.0010965110544375913
co2_habitacion_sensor,0.0008505918037625293
humedad_comedor_sensor,0.0017243399028006418
humedad_habitacion_sensor,0.00445180133880647
lighting_comedor_sensor,0.006073881374141197
lighting_habitacion_sensor,0.0018480868556253567
precipitacion,0.0004201608540929556
meteo_exterior_crepusculo,0.0012902322787501645
meteo_exterior_viento,0.001004422188968642
meteo_exterior_sol_oest,0.0009981813106226733
meteo_exterior_sol_est,0.057988453367671604
meteo_exterior_sol_sud,0.8218883073874341
meteo_exterior_piranometro,0.08736899540521895
temperature_exterior_sensor,0.007481518532569512
humedad_exterior_sensor,0.0032793862833322284
day_of_week,0.0007293009260731746
hour,0.0008528949100132699
minute,0.000151700661201449
