,importance
weather_temperature,0.008482098128184514
co2_comedor_sensor,0.017133264883638404
co2_habitacion_sensor,0.014356895928376788
humedad_comedor_sensor,0.023960303850196586
humedad_habitacion_sensor,0.0627336584367373
lighting_comedor_sensor,0.09614456316789906
lighting_habitacion_sensor,0.03260114473759815
precipitacion,0.03981205910543903
meteo_exterior_crepusculo,0.026744662788844135
meteo_exterior_viento,0.013134989483372205
meteo_exterior_sol_oest,0.04222158341252533
meteo_exterior_sol_est,0.1810176262737404
meteo_exterior_sol_sud,0.12036246328101101
meteo_exterior_piranometro,0.15690674607740993
temperature_exterior_sensor,0.09811159066313747
humedad_exterior_sensor,0.043647611781930315
day_of_week,0.009959690163705182
hour,0.010582968976348524
minute,0.0020860788599054636
