,importance
weather_temperature,0.0005012336495899874
co2_comedor_sensor,0.001096511392959995
co2_habitacion_sensor,0.0008505920577141971
humedad_comedor_sensor,0.0017243397383624173
humedad_habitacion_sensor,0.00445180134825423
lighting_comedor_sensor,0.006073882059422092
lighting_habitacion_sensor,0.001848086859547428
precipitacion,0.0004201608549846349
meteo_exterior_crepusculo,0.0012902311048046079
meteo_exterior_viento,0.0010044233677839905
meteo_exterior_sol_oest,0.0009981830777666422
meteo_exterior_sol_est,0.057988448111610996
meteo_exterior_sol_sud,0.8218883091316728
meteo_exterior_piranometro,0.08736899559063632
temperature_exterior_sensor,0.007481518548447039
humedad_exterior_sensor,0.003279386290291851
day_of_week,0.0007293007595232455
hour,0.0008528953320675011
minute,0.0001517007245600216
