,importance
weather_temperature,0.001586135529719116
co2_comedor_sensor,0.0036671556266109095
co2_habitacion_sensor,0.002859912147211254
humedad_comedor_sensor,0.0055076051397301385
humedad_habitacion_sensor,0.012245303082118542
lighting_comedor_sensor,0.024065296839282605
lighting_habitacion_sensor,0.007234560813252473
precipitacion,0.015578201162387263
meteo_exterior_crepusculo,0.00676298889691783
meteo_exterior_viento,0.0030562631521741292
meteo_exterior_sol_oest,0.07719289747569621
meteo_exterior_sol_est,0.10098192486433615
meteo_exterior_sol_sud,0.6859742225951949
meteo_exterior_piranometro,0.02044258727255817
temperature_exterior_sensor,0.018667212328830497
humedad_exterior_sensor,0.008565529649803054
day_of_week,0.0029023383960661356
hour,0.0018651165803967216
minute,0.0008447484477138659
