,importance
weather_temperature,0.001615063978779198
co2_comedor_sensor,0.0037079416880628903
co2_habitacion_sensor,0.0028925216241546463
humedad_comedor_sensor,0.005344873095670064
humedad_habitacion_sensor,0.012061907000331454
lighting_comedor_sensor,0.024310990828666168
lighting_habitacion_sensor,0.0071735692842470515
precipitacion,0.015505397691320475
meteo_exterior_crepusculo,0.006638759802616281
meteo_exterior_viento,0.003499480725466779
meteo_exterior_sol_oest,0.07609435440892949
meteo_exterior_sol_est,0.10097680650410285
meteo_exterior_sol_sud,0.6872870039943441
meteo_exterior_piranometro,0.020568686405376714
temperature_exterior_sensor,0.018783668094556102
humedad_exterior_sensor,0.008485005371842153
day_of_week,0.0022632319716728772
hour,0.0018246043463150076
minute,0.0009661331835457158
