,importance
weather_temperature,0.0015916444624671667
co2_comedor_sensor,0.003727626003659786
co2_habitacion_sensor,0.00288399428078589
humedad_comedor_sensor,0.00539141260984908
humedad_habitacion_sensor,0.012065371470755275
lighting_comedor_sensor,0.0241339406053411
lighting_habitacion_sensor,0.007231725184203271
precipitacion,0.014829792166160838
meteo_exterior_crepusculo,0.006598754576659641
meteo_exterior_viento,0.0029873434534058055
meteo_exterior_sol_oest,0.0768020251134412
meteo_exterior_sol_est,0.10143428834636674
meteo_exterior_sol_sud,0.6873157449314267
meteo_exterior_piranometro,0.020420255489620676
temperature_exterior_sensor,0.018886919071870532
humedad_exterior_sensor,0.008574358866677107
day_of_week,0.002419863840239334
hour,0.0018735383000935025
minute,0.0008314012269764097
