,importance
weather_temperature,0.0016288957768788891
co2_comedor_sensor,0.003700264681373808
co2_habitacion_sensor,0.002869975975952955
humedad_comedor_sensor,0.005445043059355414
humedad_habitacion_sensor,0.012183083411481279
lighting_comedor_sensor,0.024286750515257978
lighting_habitacion_sensor,0.007257487573113419
precipitacion,0.015160333694650018
meteo_exterior_crepusculo,0.006620881856052536
meteo_exterior_viento,0.00332745520597104
meteo_exterior_sol_oest,0.07662968657594213
meteo_exterior_sol_est,0.10145856774217145
meteo_exterior_sol_sud,0.686459241973253
meteo_exterior_piranometro,0.020625441454863235
temperature_exterior_sensor,0.018716914055488806
humedad_exterior_sensor,0.00860428094676003
day_of_week,0.0023725743440549344
hour,0.001866164062254141
minute,0.000786957095124875
