,importance
weather_temperature,0.0005040880999547949
co2_comedor_sensor,0.0010881840173862206
co2_habitacion_sensor,0.0008462210270377132
humedad_comedor_sensor,0.0017205458107820322
humedad_habitacion_sensor,0.004487739052053911
lighting_comedor_sensor,0.006004633803478903
lighting_habitacion_sensor,0.0018476700905764375
precipitacion,0.0004021560328724319
meteo_exterior_crepusculo,0.001513471034348721
meteo_exterior_viento,0.0010159725091962006
meteo_exterior_sol_oest,0.0007928236698044726
meteo_exterior_sol_est,0.05307394546903958
meteo_exterior_sol_sud,0.8268239824237531
meteo_exterior_piranometro,0.08714024576917374
temperature_exterior_sensor,0.007511952682643426
humedad_exterior_sensor,0.003291994297695289
day_of_week,0.000876365371799542
hour,0.0008516654935876676
minute,0.00020634334481584179
