,importance
weather_temperature,0.004603248658044315
co2_comedor_sensor,0.010022937364589849
co2_habitacion_sensor,0.007789930142795047
humedad_comedor_sensor,0.013518890403589997
humedad_habitacion_sensor,0.03523700242781066
lighting_comedor_sensor,0.03537084976200064
lighting_habitacion_sensor,0.03034078499321439
precipitacion,0.005199417313207372
meteo_exterior_crepusculo,0.017087752841538392
meteo_exterior_viento,0.007591743142518099
meteo_exterior_sol_oest,0.13314500157850848
meteo_exterior_sol_est,0.37662168198912466
meteo_exterior_sol_sud,0.1238242160906655
meteo_exterior_piranometro,0.10268618037979589
temperature_exterior_sensor,0.056579174850253496
humedad_exterior_sensor,0.026559478365763816
day_of_week,0.006306166936440601
hour,0.005874434019672033
minute,0.0016411087404667782
