,importance
weather_temperature,0.005005682323947183
co2_comedor_sensor,0.011541835961080615
co2_habitacion_sensor,0.009522384029150531
humedad_comedor_sensor,0.015142959404713364
humedad_habitacion_sensor,0.03829576950226675
lighting_comedor_sensor,0.05869912778417258
lighting_habitacion_sensor,0.03491004993340493
precipitacion,0.010460816476148447
meteo_exterior_crepusculo,0.03013267500258214
meteo_exterior_viento,0.0064918731006950075
meteo_exterior_sol_oest,0.3873684624236679
meteo_exterior_sol_est,0.04855549306848795
meteo_exterior_sol_sud,0.06421837856559684
meteo_exterior_piranometro,0.18067415740202697
temperature_exterior_sensor,0.058543358592896465
humedad_exterior_sensor,0.026389737223409822
day_of_week,0.005637138186831139
hour,0.006934174883307506
minute,0.001475926135613857
