,importance
weather_temperature,0.004976776808809119
co2_comedor_sensor,0.011483996027760898
co2_habitacion_sensor,0.009467623433470206
humedad_comedor_sensor,0.015035717003888935
humedad_habitacion_sensor,0.03806119945951754
lighting_comedor_sensor,0.05815468501175402
lighting_habitacion_sensor,0.0346303299771296
precipitacion,0.010482849702107529
meteo_exterior_crepusculo,0.02997642814777375
meteo_exterior_viento,0.006909782652081828
meteo_exterior_sol_oest,0.3946195287584214
meteo_exterior_sol_est,0.0451911945531931
meteo_exterior_sol_sud,0.0625298099109318
meteo_exterior_piranometro,0.1794710653081401
temperature_exterior_sensor,0.05817425759072366
humedad_exterior_sensor,0.026240579647218994
day_of_week,0.005857253580913897
hour,0.0068655451940884665
minute,0.0018713772320752865
