,importance
weather_temperature,0.004975955527012553
co2_comedor_sensor,0.011482254421610227
co2_habitacion_sensor,0.009466143284924794
humedad_comedor_sensor,0.01503371209508421
humedad_habitacion_sensor,0.03805608408866306
lighting_comedor_sensor,0.058146627279424115
lighting_habitacion_sensor,0.0346256542392361
precipitacion,0.010481608430756184
meteo_exterior_crepusculo,0.0299738354956572
meteo_exterior_viento,0.006916360316533944
meteo_exterior_sol_oest,0.3946027253128351
meteo_exterior_sol_est,0.045178701608129875
meteo_exterior_sol_sud,0.06261571289545324
meteo_exterior_piranometro,0.179445486475389
temperature_exterior_sensor,0.058166240350710524
humedad_exterior_sensor,0.026236765104803193
day_of_week,0.005850729151810256
hour,0.0068645810253269955
minute,0.0018808228966394895
