,importance
weather_temperature,0.004976573945583234
co2_comedor_sensor,0.01148494837723537
co2_habitacion_sensor,0.009468859122183648
humedad_comedor_sensor,0.01503531428356175
humedad_habitacion_sensor,0.038060125469555846
lighting_comedor_sensor,0.05815623133119719
lighting_habitacion_sensor,0.03462871945424048
precipitacion,0.010482598997189984
meteo_exterior_crepusculo,0.029974182337402573
meteo_exterior_viento,0.006920951957615665
meteo_exterior_sol_oest,0.39461071695686145
meteo_exterior_sol_est,0.04518084752323176
meteo_exterior_sol_sud,0.06254601589213124
meteo_exterior_piranometro,0.1794580885748087
temperature_exterior_sensor,0.05817120173457857
humedad_exterior_sensor,0.02623908829606139
day_of_week,0.0058531786204408034
hour,0.006865477216081193
minute,0.0018868799100391358
