,importance
weather_temperature,0.004976667880801085
co2_comedor_sensor,0.011484232762820156
co2_habitacion_sensor,0.009467963281515444
humedad_comedor_sensor,0.015035486231548857
humedad_habitacion_sensor,0.03806062409250818
lighting_comedor_sensor,0.05815485142273197
lighting_habitacion_sensor,0.03462948643277993
precipitacion,0.010482701063476173
meteo_exterior_crepusculo,0.02997556354560159
meteo_exterior_viento,0.006912878608526422
meteo_exterior_sol_oest,0.39462078801106104
meteo_exterior_sol_est,0.04518726679653924
meteo_exterior_sol_sud,0.06253691614255713
meteo_exterior_piranometro,0.17946476788816
temperature_exterior_sensor,0.058172878987919445
humedad_exterior_sensor,0.02623993123666636
day_of_week,0.005855846527621871
hour,0.0068655717769464004
minute,0.0018755773102187322
