,importance
weather_temperature,0.001960783403697019
co2_comedor_sensor,0.005110211277864364
co2_habitacion_sensor,0.00452346370365993
humedad_comedor_sensor,0.006446802284850741
humedad_habitacion_sensor,0.016791386389352538
lighting_comedor_sensor,0.024400248016828472
lighting_habitacion_sensor,0.008871962459385216
precipitacion,0.6795494934074977
meteo_exterior_crepusculo,0.005961815738717902
meteo_exterior_viento,0.0038519197735973126
meteo_exterior_sol_oest,0.04357014158209967
meteo_exterior_sol_est,0.026353980060431128
meteo_exterior_sol_sud,0.0965753414357431
meteo_exterior_piranometro,0.031742373795233564
temperature_exterior_sensor,0.025863467048331562
humedad_exterior_sensor,0.011295907999636205
day_of_week,0.002800462664370543
hour,0.003169219991749658
minute,0.0011610189669533965
