,importance
weather_temperature,0.0028646036227459727
co2_comedor_sensor,0.006223159294862679
co2_habitacion_sensor,0.0051223536869981715
humedad_comedor_sensor,0.008866143563061462
humedad_habitacion_sensor,0.02236760155712131
lighting_comedor_sensor,0.03967111594117059
lighting_habitacion_sensor,0.013789579029620712
precipitacion,0.003014022220043512
meteo_exterior_crepusculo,0.010250834526339294
meteo_exterior_viento,0.004860550277300765
meteo_exterior_sol_oest,0.30043734077108547
meteo_exterior_sol_est,0.022856289541889518
meteo_exterior_sol_sud,0.3945885738965954
meteo_exterior_piranometro,0.10817372100556816
temperature_exterior_sensor,0.033892194841830266
humedad_exterior_sensor,0.015180036497864247
day_of_week,0.0030585876013974576
hour,0.004057782351950363
minute,0.0007255097725548163
