,importance
weather_temperature,0.0028596802728838217
co2_comedor_sensor,0.0062755735099747694
co2_habitacion_sensor,0.00516403406931491
humedad_comedor_sensor,0.008949250502500724
humedad_habitacion_sensor,0.022599438690557066
lighting_comedor_sensor,0.03998233727558967
lighting_habitacion_sensor,0.013914877652735571
precipitacion,0.0030795387576523295
meteo_exterior_crepusculo,0.0103445643504768
meteo_exterior_viento,0.004766362114117653
meteo_exterior_sol_oest,0.2999234206572052
meteo_exterior_sol_est,0.02694151089844793
meteo_exterior_sol_sud,0.3888860306389838
meteo_exterior_piranometro,0.10904952551528728
temperature_exterior_sensor,0.034176898807734474
humedad_exterior_sensor,0.015318597005819938
day_of_week,0.0029699057560794682
hour,0.004103102935927863
minute,0.0006953505887107585
