,importance
weather_temperature,0.0019603514832211007
co2_comedor_sensor,0.005109288284653049
co2_habitacion_sensor,0.004522203313995371
humedad_comedor_sensor,0.006441952385463763
humedad_habitacion_sensor,0.016783162839606097
lighting_comedor_sensor,0.02439703497584277
lighting_habitacion_sensor,0.008869232503677275
precipitacion,0.6795612583429437
meteo_exterior_crepusculo,0.005995625201713342
meteo_exterior_viento,0.004043634997026131
meteo_exterior_sol_oest,0.04377013293602695
meteo_exterior_sol_est,0.02591526031086897
meteo_exterior_sol_sud,0.09679951860541731
meteo_exterior_piranometro,0.03172599495632643
temperature_exterior_sensor,0.02585334197788332
humedad_exterior_sensor,0.01129234518022233
day_of_week,0.002769016633880679
hour,0.0031681369076706966
minute,0.0010225081635606992
