,importance
weather_temperature,0.005547895099377197
co2_comedor_sensor,0.012933350266455436
co2_habitacion_sensor,0.010507325076506063
humedad_comedor_sensor,0.017605293022991925
humedad_habitacion_sensor,0.04651155475075303
lighting_comedor_sensor,0.045660043398159676
lighting_habitacion_sensor,0.026444915133971136
precipitacion,0.02043192229382019
meteo_exterior_crepusculo,0.04209141085911802
meteo_exterior_viento,0.009041865834281907
meteo_exterior_sol_oest,0.04510213346614976
meteo_exterior_sol_est,0.07511593243045232
meteo_exterior_sol_sud,0.35996082677497854
meteo_exterior_piranometro,0.15579846951210535
temperature_exterior_sensor,0.07364543571316749
humedad_exterior_sensor,0.03343426616485634
day_of_week,0.00888184404020439
hour,0.009327148015410989
minute,0.0019583681472400602
