,importance
weather_temperature,0.002857039363706872
co2_comedor_sensor,0.00621031757334035
co2_habitacion_sensor,0.005106256065847643
humedad_comedor_sensor,0.00883290118765354
humedad_habitacion_sensor,0.022325016433545567
lighting_comedor_sensor,0.03963915046937354
lighting_habitacion_sensor,0.013776877361810541
precipitacion,0.003050067856123709
meteo_exterior_crepusculo,0.010284099483793965
meteo_exterior_viento,0.004749383652634806
meteo_exterior_sol_oest,0.298164622967058
meteo_exterior_sol_est,0.025256902520638537
meteo_exterior_sol_sud,0.3949598099462814
meteo_exterior_piranometro,0.10819519537082116
temperature_exterior_sensor,0.03382605783694211
humedad_exterior_sensor,0.015145134242810351
day_of_week,0.002891367255134297
hour,0.004048354084833853
minute,0.0006814463276499565
