,importance
weather_temperature,0.0019313839564514014
co2_comedor_sensor,0.005015512630105985
co2_habitacion_sensor,0.004442554484938052
humedad_comedor_sensor,0.006342998646587282
humedad_habitacion_sensor,0.016524800110918142
lighting_comedor_sensor,0.023971279394876612
lighting_habitacion_sensor,0.008743344350738418
precipitacion,0.686165190976446
meteo_exterior_crepusculo,0.00561434096252305
meteo_exterior_viento,0.003573950101161775
meteo_exterior_sol_oest,0.04275469427787169
meteo_exterior_sol_est,0.025715073096837654
meteo_exterior_sol_sud,0.09469404703108304
meteo_exterior_piranometro,0.03126775077616396
temperature_exterior_sensor,0.025472235467240523
humedad_exterior_sensor,0.01115120640705318
day_of_week,0.002710648179377324
hour,0.0031159638351439625
minute,0.0007930253144819778
