,importance
weather_temperature,0.005513258381034885
co2_comedor_sensor,0.012780717152604362
co2_habitacion_sensor,0.010385488379744977
humedad_comedor_sensor,0.01740655190302221
humedad_habitacion_sensor,0.04618243896746316
lighting_comedor_sensor,0.04535641535108095
lighting_habitacion_sensor,0.026745609792453846
precipitacion,0.020295883816819946
meteo_exterior_crepusculo,0.04161475072487158
meteo_exterior_viento,0.011425400284809852
meteo_exterior_sol_oest,0.039403907153617995
meteo_exterior_sol_est,0.06850781478414415
meteo_exterior_sol_sud,0.3734288160094278
meteo_exterior_piranometro,0.15549750336304463
temperature_exterior_sensor,0.07314606510017599
humedad_exterior_sensor,0.033271854337254665
day_of_week,0.007893779420274449
hour,0.009258597254191942
minute,0.0018851478239626032
