,importance
weather_temperature,0.006414676532669455
co2_comedor_sensor,0.01418257880435643
co2_habitacion_sensor,0.011651456960105049
humedad_comedor_sensor,0.019490579947916628
humedad_habitacion_sensor,0.04980462794057098
lighting_comedor_sensor,0.07284361990550461
lighting_habitacion_sensor,0.020229709059190876
precipitacion,0.01169088545859635
meteo_exterior_crepusculo,0.050159848307543074
meteo_exterior_viento,0.010226686573112584
meteo_exterior_sol_oest,0.0919991744227703
meteo_exterior_sol_est,0.31962578343561204
meteo_exterior_sol_sud,0.07721182614368037
meteo_exterior_piranometro,0.11772816594892174
temperature_exterior_sensor,0.07569720070889378
humedad_exterior_sensor,0.032554174821300914
day_of_week,0.007668826890233193
hour,0.008665826597177564
minute,0.0021543515418442107
