,importance
weather_temperature,0.0074928819577113
co2_comedor_sensor,0.017436153346146878
co2_habitacion_sensor,0.014646293985591214
humedad_comedor_sensor,0.02455871055240703
humedad_habitacion_sensor,0.06713359979860999
lighting_comedor_sensor,0.13325963218171583
lighting_habitacion_sensor,0.041634504883646006
precipitacion,0.026492058747620267
meteo_exterior_crepusculo,0.024960557872073925
meteo_exterior_viento,0.013425593357380791
meteo_exterior_sol_oest,0.09119706065599956
meteo_exterior_sol_est,0.07873484373728916
meteo_exterior_sol_sud,0.23855130491289167
meteo_exterior_piranometro,0.042125473489766876
temperature_exterior_sensor,0.10535476246228338
humedad_exterior_sensor,0.047840393880175684
day_of_week,0.01041990397976461
hour,0.012012843409862124
minute,0.002723426789063867
