,importance
weather_temperature,0.006491019864821388
co2_comedor_sensor,0.01429083089327203
co2_habitacion_sensor,0.011737501061707907
humedad_comedor_sensor,0.01970802965055279
humedad_habitacion_sensor,0.050340012704953696
lighting_comedor_sensor,0.0735984396966516
lighting_habitacion_sensor,0.02046058608436594
precipitacion,0.011781421100481564
meteo_exterior_crepusculo,0.050514881493596384
meteo_exterior_viento,0.009571802430662024
meteo_exterior_sol_oest,0.08779753525092521
meteo_exterior_sol_est,0.32502806178707444
meteo_exterior_sol_sud,0.07162395309278041
meteo_exterior_piranometro,0.11902476097009318
temperature_exterior_sensor,0.07655521359352466
humedad_exterior_sensor,0.0328945872903208
day_of_week,0.007564545051913634
hour,0.008808193324196694
minute,0.0022086246581056864
