,importance
weather_temperature,0.004531064921811381
co2_comedor_sensor,0.009796265131292298
co2_habitacion_sensor,0.008068037334915332
humedad_comedor_sensor,0.014389103361468604
humedad_habitacion_sensor,0.035503867864305115
lighting_comedor_sensor,0.021165277915257078
lighting_habitacion_sensor,0.032277017688826265
precipitacion,0.013294636695576206
meteo_exterior_crepusculo,0.021632048663616236
meteo_exterior_viento,0.006816936559875653
meteo_exterior_sol_oest,0.1826030602333307
meteo_exterior_sol_est,0.3147297820202951
meteo_exterior_sol_sud,0.14313233841247297
meteo_exterior_piranometro,0.1005378621668059
temperature_exterior_sensor,0.054111563693564284
humedad_exterior_sensor,0.02403082598428078
day_of_week,0.005709524399552224
hour,0.006481912753041914
minute,0.0011888741997121248
