,importance
weather_temperature,0.00015865257328341037
co2_comedor_sensor,0.0003729594500075066
co2_habitacion_sensor,0.0003298480721575086
humedad_comedor_sensor,0.0006585350107759088
humedad_habitacion_sensor,0.0017408313101538635
lighting_comedor_sensor,0.0014577302460124242
lighting_habitacion_sensor,0.0014450516342636318
precipitacion,0.00036490555070122345
meteo_exterior_crepusculo,0.0015651254455391755
meteo_exterior_viento,0.0005228370142817409
meteo_exterior_sol_oest,0.01349496669944751
meteo_exterior_sol_est,0.010740065854211457
meteo_exterior_sol_sud,0.9618259450321569
meteo_exterior_piranometro,0.00133416234921404
temperature_exterior_sensor,0.0023671339678300817
humedad_exterior_sensor,0.0010268140775547845
day_of_week,0.0003104976779146961
hour,0.00023961014448431394
minute,4.432789000984286e-05
