,importance
weather_temperature,0.002437437805415601
co2_comedor_sensor,0.0052578335774053605
co2_habitacion_sensor,0.004524317369601912
humedad_comedor_sensor,0.01088310031000493
humedad_habitacion_sensor,0.02751311113939955
lighting_comedor_sensor,0.037632383614105494
lighting_habitacion_sensor,0.024176604445624375
precipitacion,0.002675859764358964
meteo_exterior_crepusculo,0.006530152008852237
meteo_exterior_viento,0.007560347330198403
meteo_exterior_sol_oest,0.19358230627974196
meteo_exterior_sol_est,0.15508119003502233
meteo_exterior_sol_sud,0.32707062697310924
meteo_exterior_piranometro,0.1312389476168807
temperature_exterior_sensor,0.03680552240825494
humedad_exterior_sensor,0.017782135465983007
day_of_week,0.005067411186225742
hour,0.003364413451041244
minute,0.000816299218774183
