,importance
weather_temperature,0.008078254114057186
co2_comedor_sensor,0.018274614094984227
co2_habitacion_sensor,0.015103613826468245
humedad_comedor_sensor,0.02539107857015812
humedad_habitacion_sensor,0.0640658280495971
lighting_comedor_sensor,0.10849985177192546
lighting_habitacion_sensor,0.04454292783122673
precipitacion,0.011540611699909699
meteo_exterior_crepusculo,0.03287743738325958
meteo_exterior_viento,0.014242211054015082
meteo_exterior_sol_oest,0.12224219688367884
meteo_exterior_sol_est,0.15475973909005228
meteo_exterior_sol_sud,0.061227931828954946
meteo_exterior_piranometro,0.1475877662124927
temperature_exterior_sensor,0.10170895699543585
humedad_exterior_sensor,0.04387834273363318
day_of_week,0.011797284427383824
hour,0.012558906625820753
minute,0.0016224468069463626
