,importance
weather_temperature,0.008097108363423998
co2_comedor_sensor,0.01831735109036457
co2_habitacion_sensor,0.015136730826061472
humedad_comedor_sensor,0.025442367857085542
humedad_habitacion_sensor,0.06420344254866776
lighting_comedor_sensor,0.10871371403330882
lighting_habitacion_sensor,0.04463252410887642
precipitacion,0.011610225943373726
meteo_exterior_crepusculo,0.03303661916716596
meteo_exterior_viento,0.014382886386652215
meteo_exterior_sol_oest,0.12256425297102592
meteo_exterior_sol_est,0.1554918759352432
meteo_exterior_sol_sud,0.05871418566666378
meteo_exterior_piranometro,0.1477478541757812
temperature_exterior_sensor,0.10193317607795488
humedad_exterior_sensor,0.043973564047357874
day_of_week,0.011783462735831586
hour,0.012586269692473747
minute,0.001632388372687308
