,importance
weather_temperature,0.008090530091970053
co2_comedor_sensor,0.01830208196668813
co2_habitacion_sensor,0.015124968231469409
humedad_comedor_sensor,0.02542326185100171
humedad_habitacion_sensor,0.06415318935887823
lighting_comedor_sensor,0.10863162101638213
lighting_habitacion_sensor,0.04459865201672844
precipitacion,0.011593855980443185
meteo_exterior_crepusculo,0.03299050060254413
meteo_exterior_viento,0.01442083842819309
meteo_exterior_sol_oest,0.1223535933687599
meteo_exterior_sol_est,0.15574881015924905
meteo_exterior_sol_sud,0.05907802197335206
meteo_exterior_piranometro,0.14765397263813002
temperature_exterior_sensor,0.10185242578544344
humedad_exterior_sensor,0.04393951844269724
day_of_week,0.011838926397069472
hour,0.012576298951191972
minute,0.0016289327398085183
