,importance
weather_temperature,0.008079282021773847
co2_comedor_sensor,0.01827743155701327
co2_habitacion_sensor,0.015105774690694863
humedad_comedor_sensor,0.0253915859289665
humedad_habitacion_sensor,0.064069987929211
lighting_comedor_sensor,0.10850012549453117
lighting_habitacion_sensor,0.044544699308876216
precipitacion,0.011559924075155992
meteo_exterior_crepusculo,0.032906026570536456
meteo_exterior_viento,0.014379139510607158
meteo_exterior_sol_oest,0.12211038340382092
meteo_exterior_sol_est,0.15571600110130646
meteo_exterior_sol_sud,0.06018425938006755
meteo_exterior_piranometro,0.14752788460688854
temperature_exterior_sensor,0.10171954048738811
humedad_exterior_sensor,0.04388275436214134
day_of_week,0.011862141835417813
hour,0.012560192552130764
minute,0.0016228651834720692
