,importance
weather_temperature,0.004684994897676844
co2_comedor_sensor,0.010144716338781007
co2_habitacion_sensor,0.008525858198583548
humedad_comedor_sensor,0.012037794594792274
humedad_habitacion_sensor,0.031994634082920526
lighting_comedor_sensor,0.029147434505011525
lighting_habitacion_sensor,0.031065860878721686
precipitacion,0.40856806412774227
meteo_exterior_crepusculo,0.017906200900591907
meteo_exterior_viento,0.008827887184677863
meteo_exterior_sol_oest,0.11876067073414556
meteo_exterior_sol_est,0.110209858374887
meteo_exterior_sol_sud,0.03650937921051921
meteo_exterior_piranometro,0.08487535999508909
temperature_exterior_sensor,0.05114845073904113
humedad_exterior_sensor,0.02240512386231245
day_of_week,0.006108176476997884
hour,0.0054110724808710325
minute,0.0016684624166371559
