,importance
weather_temperature,0.0046831440483105415
co2_comedor_sensor,0.010143653921390114
co2_habitacion_sensor,0.008535995332922486
humedad_comedor_sensor,0.012036046838233914
humedad_habitacion_sensor,0.03211414736387801
lighting_comedor_sensor,0.02923602981656057
lighting_habitacion_sensor,0.030827602289707445
precipitacion,0.40974974471261555
meteo_exterior_crepusculo,0.017914202938380284
meteo_exterior_viento,0.008840198548417406
meteo_exterior_sol_oest,0.11743013712038633
meteo_exterior_sol_est,0.11360752073087468
meteo_exterior_sol_sud,0.033455559679342536
meteo_exterior_piranometro,0.08499280065270953
temperature_exterior_sensor,0.051248068277502834
humedad_exterior_sensor,0.02247479879475757
day_of_week,0.006015406087701249
hour,0.005433054891305642
minute,0.0012618879550032797
