,importance
weather_temperature,0.004719498745136356
co2_comedor_sensor,0.010192164979356547
co2_habitacion_sensor,0.008572804662122438
humedad_comedor_sensor,0.01209830891292379
humedad_habitacion_sensor,0.032259284675295236
lighting_comedor_sensor,0.029458208528817947
lighting_habitacion_sensor,0.03108269192261731
precipitacion,0.41235312244165667
meteo_exterior_crepusculo,0.0180900347558605
meteo_exterior_viento,0.008392788827466014
meteo_exterior_sol_oest,0.11365160114211512
meteo_exterior_sol_est,0.11186295240206273
meteo_exterior_sol_sud,0.03439694270780795
meteo_exterior_piranometro,0.0855022514998246
temperature_exterior_sensor,0.0515429365613428
humedad_exterior_sensor,0.02258977262339293
day_of_week,0.006116574860574841
hour,0.005472082872238344
minute,0.001645976879387976
