,importance
weather_temperature,0.0046339753211080015
co2_comedor_sensor,0.010085790011075565
co2_habitacion_sensor,0.008476402556569016
humedad_comedor_sensor,0.01202196711879956
humedad_habitacion_sensor,0.03185425584517528
lighting_comedor_sensor,0.029009384018158224
lighting_habitacion_sensor,0.030842048208041227
precipitacion,0.40628695748067567
meteo_exterior_crepusculo,0.017421086858771185
meteo_exterior_viento,0.0073634539335415685
meteo_exterior_sol_oest,0.12119694695167076
meteo_exterior_sol_est,0.11243487889125414
meteo_exterior_sol_sud,0.03807992674012749
meteo_exterior_piranometro,0.08448387274076787
temperature_exterior_sensor,0.050827306860944686
humedad_exterior_sensor,0.022270253182115358
day_of_week,0.006040281544427727
hour,0.005388287964292725
minute,0.001282923772483961
