,importance
weather_temperature,0.004718173596037498
co2_comedor_sensor,0.010204176799587893
co2_habitacion_sensor,0.008584659044565684
humedad_comedor_sensor,0.012126341979878658
humedad_habitacion_sensor,0.032301505378897456
lighting_comedor_sensor,0.02944179727740768
lighting_habitacion_sensor,0.031159031328765102
precipitacion,0.41250251406093935
meteo_exterior_crepusculo,0.018040813271131828
meteo_exterior_viento,0.00841906303753661
meteo_exterior_sol_oest,0.11285339118213895
meteo_exterior_sol_est,0.11132210910670155
meteo_exterior_sol_sud,0.03524428356183334
meteo_exterior_piranometro,0.08558138404982056
temperature_exterior_sensor,0.05157897526863046
humedad_exterior_sensor,0.02260730715355324
day_of_week,0.0061523796990532705
hour,0.005471828869157304
minute,0.001690265334363555
