,importance
weather_temperature,0.0015961494279397666
co2_comedor_sensor,0.003670895769406925
co2_habitacion_sensor,0.0028633014726462055
humedad_comedor_sensor,0.005348990213681354
humedad_habitacion_sensor,0.011958743619785774
lighting_comedor_sensor,0.02413797714922291
lighting_habitacion_sensor,0.007150491822774112
precipitacion,0.015598375325081076
meteo_exterior_crepusculo,0.006554276098436367
meteo_exterior_viento,0.002850046633727915
meteo_exterior_sol_oest,0.07840338136945789
meteo_exterior_sol_est,0.09964962335730998
meteo_exterior_sol_sud,0.6877296707285099
meteo_exterior_piranometro,0.020381958576631772
temperature_exterior_sensor,0.01859495032090247
humedad_exterior_sensor,0.008416482084548161
day_of_week,0.002498256387786534
hour,0.0018084650998599309
minute,0.0007879645422910027
