,importance
weather_temperature,0.008457718521273099
co2_comedor_sensor,0.017215309238502195
co2_habitacion_sensor,0.014430204469690082
humedad_comedor_sensor,0.024084387140119557
humedad_habitacion_sensor,0.06314172521053395
lighting_comedor_sensor,0.09723300975707175
lighting_habitacion_sensor,0.03268342238610239
precipitacion,0.03968319792673826
meteo_exterior_crepusculo,0.025743747394655653
meteo_exterior_viento,0.013593635082464564
meteo_exterior_sol_oest,0.039940546990000755
meteo_exterior_sol_est,0.18162381508770625
meteo_exterior_sol_sud,0.11960719604313726
meteo_exterior_piranometro,0.158095183122377
temperature_exterior_sensor,0.09822442150049854
humedad_exterior_sensor,0.04369918640739206
day_of_week,0.009993027534738021
hour,0.01051554514956209
minute,0.002034721037436322
